provincia,categoria,score,hotel,puntaje
Cuenca,Facilities,8.1,Hotel Boutique Castilla de Léon,8.0
Cuenca,Cleanliness,8.4,Hotel Boutique Castilla de Léon,8.0
Cuenca,Comfort,8.4,Hotel Boutique Castilla de Léon,8.0
Cuenca,Value for money,8.3,Hotel Boutique Castilla de Léon,8.0
Cuenca,Location,8.5,Hotel Boutique Castilla de Léon,8.0
Cuenca,Free WiFi,8.1,Hotel Boutique Castilla de Léon,8.0
Cuenca,Staff,8.7,Selina Cuenca,8.3
Cuenca,Facilities,8.5,Selina Cuenca,8.3
Cuenca,Cleanliness,8.7,Selina Cuenca,8.3
Cuenca,Comfort,8.6,Selina Cuenca,8.3
Cuenca,Value for money,8.3,Selina Cuenca,8.3
Cuenca,Location,9.4,Selina Cuenca,8.3
Cuenca,Free WiFi,8.8,Selina Cuenca,8.3
Cuenca,Staff,9.5,Hotel Posada del Rey,8.8
Cuenca,Facilities,8.8,Hotel Posada del Rey,8.8
Cuenca,Cleanliness,9.2,Hotel Posada del Rey,8.8
Cuenca,Comfort,9.0,Hotel Posada del Rey,8.8
Cuenca,Value for money,8.9,Hotel Posada del Rey,8.8
Cuenca,Location,9.7,Hotel Posada del Rey,8.8
Cuenca,Free WiFi,8.0,Hotel Posada del Rey,8.8
Cuenca,Staff,9.3,Hotel Azul de la Plaza,8.7
Cuenca,Facilities,8.8,Hotel Azul de la Plaza,8.7
Cuenca,Cleanliness,8.9,Hotel Azul de la Plaza,8.7
Cuenca,Comfort,9.1,Hotel Azul de la Plaza,8.7
Cuenca,Value for money,8.6,Hotel Azul de la Plaza,8.7
Cuenca,Location,9.1,Hotel Azul de la Plaza,8.7
Cuenca,Free WiFi,8.2,Hotel Azul de la Plaza,8.7
Cuenca,Staff,9.7,Pepe's House Cuenca Boutique Hotel l B&B,9.3
Cuenca,Facilities,9.3,Pepe's House Cuenca Boutique Hotel l B&B,9.3
Cuenca,Cleanliness,9.6,Pepe's House Cuenca Boutique Hotel l B&B,9.3
Cuenca,Comfort,9.4,Pepe's House Cuenca Boutique Hotel l B&B,9.3
Cuenca,Value for money,9.1,Pepe's House Cuenca Boutique Hotel l B&B,9.3
Cuenca,Location,9.7,Pepe's House Cuenca Boutique Hotel l B&B,9.3
Cuenca,Free WiFi,9.3,Pepe's House Cuenca Boutique Hotel l B&B,9.3
Cuenca,Staff,9.2,Hostal Mariscal Inn & Suite,8.4
Cuenca,Facilities,8.4,Hostal Mariscal Inn & Suite,8.4
Cuenca,Cleanliness,8.9,Hostal Mariscal Inn & Suite,8.4
Cuenca,Comfort,8.6,Hostal Mariscal Inn & Suite,8.4
Cuenca,Value for money,8.8,Hostal Mariscal Inn & Suite,8.4
Cuenca,Location,8.9,Hostal Mariscal Inn & Suite,8.4
Cuenca,Free WiFi,7.5,Hostal Mariscal Inn & Suite,8.4
Cuenca,Staff,9.3,Villa Emilia Hostal,9.4
Cuenca,Facilities,9.5,Villa Emilia Hostal,9.4
Cuenca,Cleanliness,9.6,Villa Emilia Hostal,9.4
Cuenca,Comfort,9.6,Villa Emilia Hostal,9.4
Cuenca,Value for money,9.5,Villa Emilia Hostal,9.4
Cuenca,Location,9.6,Villa Emilia Hostal,9.4
Cuenca,Free WiFi,8.9,Villa Emilia Hostal,9.4
Cuenca,Staff,8.9,Morenica del Rosario,8.5
Cuenca,Facilities,8.5,Morenica del Rosario,8.5
Cuenca,Cleanliness,9.0,Morenica del Rosario,8.5
Cuenca,Comfort,8.9,Morenica del Rosario,8.5
Cuenca,Value for money,8.7,Morenica del Rosario,8.5
Cuenca,Location,9.5,Morenica del Rosario,8.5
Cuenca,Free WiFi,5.8,Morenica del Rosario,8.5
Cuenca,Staff,9.3,Four Points by Sheraton Cuenca,9.0
Cuenca,Facilities,9.2,Four Points by Sheraton Cuenca,9.0
Cuenca,Cleanliness,9.3,Four Points by Sheraton Cuenca,9.0
Cuenca,Comfort,9.3,Four Points by Sheraton Cuenca,9.0
Cuenca,Value for money,8.8,Four Points by Sheraton Cuenca,9.0
Cuenca,Location,9.0,Four Points by Sheraton Cuenca,9.0
Cuenca,Free WiFi,8.4,Four Points by Sheraton Cuenca,9.0
Cuenca,Staff,8.5,Hotel Nass Pinar del Lago,8.4
Cuenca,Facilities,8.4,Hotel Nass Pinar del Lago,8.4
Cuenca,Cleanliness,8.8,Hotel Nass Pinar del Lago,8.4
Cuenca,Comfort,8.8,Hotel Nass Pinar del Lago,8.4
Cuenca,Value for money,8.8,Hotel Nass Pinar del Lago,8.4
Cuenca,Location,9.0,Hotel Nass Pinar del Lago,8.4
Cuenca,Free WiFi,7.9,Hotel Nass Pinar del Lago,8.4
Cuenca,Staff,8.9,Hosteria Dos Chorreras,8.9
Cuenca,Facilities,9.2,Hosteria Dos Chorreras,8.9
Cuenca,Cleanliness,9.3,Hosteria Dos Chorreras,8.9
Cuenca,Comfort,9.2,Hosteria Dos Chorreras,8.9
Cuenca,Value for money,8.5,Hosteria Dos Chorreras,8.9
Cuenca,Location,9.2,Hosteria Dos Chorreras,8.9
Cuenca,Free WiFi,7.4,Hosteria Dos Chorreras,8.9
Cuenca,Staff,9.3,Guesthouse Bella Vista,8.7
Cuenca,Facilities,9.0,Guesthouse Bella Vista,8.7
Cuenca,Cleanliness,9.0,Guesthouse Bella Vista,8.7
Cuenca,Comfort,9.0,Guesthouse Bella Vista,8.7
Cuenca,Value for money,9.3,Guesthouse Bella Vista,8.7
Cuenca,Location,8.5,Guesthouse Bella Vista,8.7
Cuenca,Free WiFi,9.0,Guesthouse Bella Vista,8.7
Cuenca,Staff,9.9,Itza Hotel Boutique Internacional,9.3
Cuenca,Facilities,9.5,Itza Hotel Boutique Internacional,9.3
Cuenca,Cleanliness,9.8,Itza Hotel Boutique Internacional,9.3
Cuenca,Comfort,9.6,Itza Hotel Boutique Internacional,9.3
Cuenca,Value for money,9.0,Itza Hotel Boutique Internacional,9.3
Cuenca,Location,9.7,Itza Hotel Boutique Internacional,9.3
Cuenca,Free WiFi,9.2,Itza Hotel Boutique Internacional,9.3
Cuenca,Staff,9.3,Hostal Casa de Lidice,9.1
Cuenca,Facilities,9.1,Hostal Casa de Lidice,9.1
Cuenca,Cleanliness,9.5,Hostal Casa de Lidice,9.1
Cuenca,Comfort,9.3,Hostal Casa de Lidice,9.1
Cuenca,Value for money,9.1,Hostal Casa de Lidice,9.1
Cuenca,Location,9.3,Hostal Casa de Lidice,9.1
Cuenca,Free WiFi,6.2,Hostal Casa de Lidice,9.1
Cuenca,Staff,9.5,Apartamentos Otorongo Cuenca Ecuador,8.9
Cuenca,Facilities,9.0,Apartamentos Otorongo Cuenca Ecuador,8.9
Cuenca,Cleanliness,9.1,Apartamentos Otorongo Cuenca Ecuador,8.9
Cuenca,Comfort,8.9,Apartamentos Otorongo Cuenca Ecuador,8.9
Cuenca,Value for money,8.9,Apartamentos Otorongo Cuenca Ecuador,8.9
Cuenca,Location,9.5,Apartamentos Otorongo Cuenca Ecuador,8.9
Cuenca,Free WiFi,9.4,Apartamentos Otorongo Cuenca Ecuador,8.9
Cuenca,Staff,9.2,El Dorado Hotel,9.0
Cuenca,Facilities,9.0,El Dorado Hotel,9.0
Cuenca,Cleanliness,9.3,El Dorado Hotel,9.0
Cuenca,Comfort,9.4,El Dorado Hotel,9.0
Cuenca,Value for money,8.8,El Dorado Hotel,9.0
Cuenca,Location,9.5,El Dorado Hotel,9.0
Cuenca,Free WiFi,8.9,El Dorado Hotel,9.0
Cuenca,Staff,8.4,Check Inn Bed and Breakfast,7.7
Cuenca,Facilities,7.4,Check Inn Bed and Breakfast,7.7
Cuenca,Cleanliness,8.0,Check Inn Bed and Breakfast,7.7
Cuenca,Comfort,7.7,Check Inn Bed and Breakfast,7.7
Cuenca,Value for money,8.4,Check Inn Bed and Breakfast,7.7
Cuenca,Location,9.5,Check Inn Bed and Breakfast,7.7
Cuenca,Free WiFi,7.3,Check Inn Bed and Breakfast,7.7
Cuenca,Staff,9.0,Hotel Valgus,8.7
Cuenca,Facilities,8.9,Hotel Valgus,8.7
Cuenca,Cleanliness,9.1,Hotel Valgus,8.7
Cuenca,Comfort,9.2,Hotel Valgus,8.7
Cuenca,Value for money,8.6,Hotel Valgus,8.7
Cuenca,Location,9.4,Hotel Valgus,8.7
Cuenca,Free WiFi,6.5,Hotel Valgus,8.7
Cuenca,Staff,8.3,Hotel Spa Santa Ana,7.5
Cuenca,Facilities,7.5,Hotel Spa Santa Ana,7.5
Cuenca,Cleanliness,8.0,Hotel Spa Santa Ana,7.5
Cuenca,Comfort,7.9,Hotel Spa Santa Ana,7.5
Cuenca,Value for money,7.6,Hotel Spa Santa Ana,7.5
Cuenca,Location,9.0,Hotel Spa Santa Ana,7.5
Cuenca,Free WiFi,7.5,Hotel Spa Santa Ana,7.5
Quito,Staff,9.3,Hotel David,8.7
Quito,Facilities,8.6,Hotel David,8.7
Quito,Cleanliness,8.9,Hotel David,8.7
Quito,Comfort,8.8,Hotel David,8.7
Quito,Value for money,9.0,Hotel David,8.7
Quito,Location,8.8,Hotel David,8.7
Quito,Free WiFi,8.6,Hotel David,8.7
Quito,Staff,9.3,Rincón Familiar Hostel Boutique,8.3
Quito,Facilities,8.1,Rincón Familiar Hostel Boutique,8.3
Quito,Cleanliness,8.6,Rincón Familiar Hostel Boutique,8.3
Quito,Comfort,8.5,Rincón Familiar Hostel Boutique,8.3
Quito,Value for money,8.6,Rincón Familiar Hostel Boutique,8.3
Quito,Location,9.1,Rincón Familiar Hostel Boutique,8.3
Quito,Free WiFi,8.6,Rincón Familiar Hostel Boutique,8.3
Quito,Staff,9.2,Boutique Hotel Antinea,8.9
Quito,Facilities,8.9,Boutique Hotel Antinea,8.9
Quito,Cleanliness,9.1,Boutique Hotel Antinea,8.9
Quito,Comfort,9.0,Boutique Hotel Antinea,8.9
Quito,Value for money,8.9,Boutique Hotel Antinea,8.9
Quito,Location,9.2,Boutique Hotel Antinea,8.9
Quito,Free WiFi,8.6,Boutique Hotel Antinea,8.9
Quito,Staff,9.0,Hotel Bellavista Quito,8.1
Quito,Facilities,8.0,Hotel Bellavista Quito,8.1
Quito,Cleanliness,8.5,Hotel Bellavista Quito,8.1
Quito,Comfort,8.4,Hotel Bellavista Quito,8.1
Quito,Value for money,8.2,Hotel Bellavista Quito,8.1
Quito,Location,8.6,Hotel Bellavista Quito,8.1
Quito,Free WiFi,8.7,Hotel Bellavista Quito,8.1
Quito,Staff,9.1,Hotel Bernys Estrellita,7.7
Quito,Facilities,7.8,Hotel Bernys Estrellita,7.7
Quito,Cleanliness,8.4,Hotel Bernys Estrellita,7.7
Quito,Comfort,8.0,Hotel Bernys Estrellita,7.7
Quito,Value for money,8.5,Hotel Bernys Estrellita,7.7
Quito,Location,8.2,Hotel Bernys Estrellita,7.7
Quito,Free WiFi,5.8,Hotel Bernys Estrellita,7.7
Quito,Staff,9.3,Wyndham Garden Quito,9.0
Quito,Facilities,8.9,Wyndham Garden Quito,9.0
Quito,Cleanliness,9.3,Wyndham Garden Quito,9.0
Quito,Comfort,9.3,Wyndham Garden Quito,9.0
Quito,Value for money,8.8,Wyndham Garden Quito,9.0
Quito,Location,9.4,Wyndham Garden Quito,9.0
Quito,Free WiFi,8.9,Wyndham Garden Quito,9.0
Quito,Staff,9.8,Posada Tambuca,9.4
Quito,Facilities,9.2,Posada Tambuca,9.4
Quito,Cleanliness,9.5,Posada Tambuca,9.4
Quito,Comfort,9.3,Posada Tambuca,9.4
Quito,Value for money,9.5,Posada Tambuca,9.4
Quito,Location,9.3,Posada Tambuca,9.4
Quito,Free WiFi,9.6,Posada Tambuca,9.4
Quito,Staff,9.4,Hostal Yumbo Imperial,8.4
Quito,Facilities,8.0,Hostal Yumbo Imperial,8.4
Quito,Cleanliness,8.3,Hostal Yumbo Imperial,8.4
Quito,Comfort,8.1,Hostal Yumbo Imperial,8.4
Quito,Value for money,9.1,Hostal Yumbo Imperial,8.4
Quito,Location,9.5,Hostal Yumbo Imperial,8.4
Quito,Free WiFi,8.1,Hostal Yumbo Imperial,8.4
Quito,Staff,9.2,Hotel Reina Isabel,8.9
Quito,Facilities,9.0,Hotel Reina Isabel,8.9
Quito,Cleanliness,9.3,Hotel Reina Isabel,8.9
Quito,Comfort,9.2,Hotel Reina Isabel,8.9
Quito,Value for money,8.9,Hotel Reina Isabel,8.9
Quito,Location,8.8,Hotel Reina Isabel,8.9
Quito,Free WiFi,8.4,Hotel Reina Isabel,8.9
Quito,Staff,9.9,Hotel Casona 1914,9.7
Quito,Facilities,9.7,Hotel Casona 1914,9.7
Quito,Cleanliness,9.8,Hotel Casona 1914,9.7
Quito,Comfort,9.8,Hotel Casona 1914,9.7
Quito,Value for money,9.7,Hotel Casona 1914,9.7
Quito,Location,9.1,Hotel Casona 1914,9.7
Quito,Free WiFi,9.3,Hotel Casona 1914,9.7
Quito,Staff,8.8,Hostal Juana de Arco,8.3
Quito,Facilities,8.1,Hostal Juana de Arco,8.3
Quito,Cleanliness,8.7,Hostal Juana de Arco,8.3
Quito,Comfort,8.3,Hostal Juana de Arco,8.3
