id,provincia,categoria,score
13,Cuenca,Location,9.5
13,Cuenca,Free WiFi,5.8
14,Cuenca,"",""
15,Cuenca,Staff,9.3
15,Cuenca,Facilities,9.2
15,Cuenca,Cleanliness,9.3
15,Cuenca,Comfort,9.3
15,Cuenca,Value for money,8.8
15,Cuenca,Location,9.0
15,Cuenca,Free WiFi,8.4
16,Cuenca,Staff,8.5
16,Cuenca,Facilities,8.4
16,Cuenca,Cleanliness,8.8
16,Cuenca,Comfort,8.8
16,Cuenca,Value for money,8.8
16,Cuenca,Location,9.0
16,Cuenca,Free WiFi,7.9
17,Cuenca,Staff,8.9
17,Cuenca,Facilities,9.2
17,Cuenca,Cleanliness,9.3
17,Cuenca,Comfort,9.2
17,Cuenca,Value for money,8.5
17,Cuenca,Location,9.2
17,Cuenca,Free WiFi,7.4
18,Cuenca,Staff,9.3
18,Cuenca,Facilities,9.0
18,Cuenca,Cleanliness,9.0
18,Cuenca,Comfort,9.0
18,Cuenca,Value for money,9.3
18,Cuenca,Location,8.5
18,Cuenca,Free WiFi,9.0
19,Cuenca,Staff,9.9
19,Cuenca,Facilities,9.5
19,Cuenca,Cleanliness,9.8
19,Cuenca,Comfort,9.6
19,Cuenca,Value for money,9.0
19,Cuenca,Location,9.7
19,Cuenca,Free WiFi,9.2
20,Cuenca,Staff,9.3
20,Cuenca,Facilities,9.1
20,Cuenca,Cleanliness,9.5
20,Cuenca,Comfort,9.3
20,Cuenca,Value for money,9.1
20,Cuenca,Location,9.3
20,Cuenca,Free WiFi,6.2
21,Cuenca,Staff,9.5
21,Cuenca,Facilities,9.0
21,Cuenca,Cleanliness,9.1
21,Cuenca,Comfort,8.9
21,Cuenca,Value for money,8.9
21,Cuenca,Location,9.5
21,Cuenca,Free WiFi,9.4
22,Cuenca,Staff,9.2
22,Cuenca,Facilities,9.0
22,Cuenca,Cleanliness,9.3
22,Cuenca,Comfort,9.4
22,Cuenca,Value for money,8.8
22,Cuenca,Location,9.5
22,Cuenca,Free WiFi,8.9
23,Cuenca,Staff,8.4
23,Cuenca,Facilities,7.4
23,Cuenca,Cleanliness,8.0
23,Cuenca,Comfort,7.7
23,Cuenca,Value for money,8.4
23,Cuenca,Location,9.5
23,Cuenca,Free WiFi,7.3
24,Cuenca,Staff,9.0
24,Cuenca,Facilities,8.9
24,Cuenca,Cleanliness,9.1
24,Cuenca,Comfort,9.2
24,Cuenca,Value for money,8.6
24,Cuenca,Location,9.4
24,Cuenca,Free WiFi,6.5
25,Cuenca,Staff,8.3
25,Cuenca,Facilities,7.5
25,Cuenca,Cleanliness,8.0
25,Cuenca,Comfort,7.9
25,Cuenca,Value for money,7.6
25,Cuenca,Location,9.0
25,Cuenca,Free WiFi,7.5
26,Cuenca,Staff,8.8
26,Cuenca,Facilities,8.2
26,Cuenca,Cleanliness,8.5
26,Cuenca,Comfort,8.5
26,Cuenca,Value for money,8.3
26,Cuenca,Location,8.9
26,Cuenca,Free WiFi,7.8
27,Cuenca,Staff,9.5
27,Cuenca,Facilities,8.8
27,Cuenca,Cleanliness,9.0
27,Cuenca,Comfort,9.0
27,Cuenca,Value for money,8.8
27,Cuenca,Location,9.7
27,Cuenca,Free WiFi,8.5
28,Cuenca,Staff,8.9
28,Cuenca,Facilities,8.6
28,Cuenca,Cleanliness,9.0
28,Cuenca,Comfort,8.9
28,Cuenca,Value for money,8.8
28,Cuenca,Location,9.1
28,Cuenca,Free WiFi,8.0
29,Cuenca,Staff,9.7
29,Cuenca,Facilities,9.1
29,Cuenca,Cleanliness,9.5
29,Cuenca,Comfort,9.3
29,Cuenca,Value for money,9.5
29,Cuenca,Location,9.7
29,Cuenca,Free WiFi,8.8
30,Cuenca,Staff,9.5
30,Cuenca,Facilities,8.7
30,Cuenca,Cleanliness,9.1
30,Cuenca,Comfort,8.9
30,Cuenca,Value for money,9.0
30,Cuenca,Location,9.8
30,Cuenca,Free WiFi,8.8
31,Cuenca,Staff,8.5
31,Cuenca,Facilities,8.1
31,Cuenca,Cleanliness,8.4
31,Cuenca,Comfort,8.4
31,Cuenca,Value for money,8.3
31,Cuenca,Location,8.5
31,Cuenca,Free WiFi,8.1
32,Cuenca,Staff,8.7
32,Cuenca,Facilities,8.5
32,Cuenca,Cleanliness,8.7
32,Cuenca,Comfort,8.6
32,Cuenca,Value for money,8.3
32,Cuenca,Location,9.4
32,Cuenca,Free WiFi,8.8
33,Cuenca,Staff,9.5
33,Cuenca,Facilities,8.8
33,Cuenca,Cleanliness,9.2
33,Cuenca,Comfort,9.0
33,Cuenca,Value for money,8.9
33,Cuenca,Location,9.7
33,Cuenca,Free WiFi,8.0
34,Cuenca,Staff,9.3
34,Cuenca,Facilities,8.8
34,Cuenca,Cleanliness,8.9
34,Cuenca,Comfort,9.1
34,Cuenca,Value for money,8.6
34,Cuenca,Location,9.1
34,Cuenca,Free WiFi,8.2
35,Cuenca,Staff,9.7
35,Cuenca,Facilities,9.3
35,Cuenca,Cleanliness,9.6
35,Cuenca,Comfort,9.4
35,Cuenca,Value for money,9.1
35,Cuenca,Location,9.7
35,Cuenca,Free WiFi,9.3
36,Cuenca,Staff,9.2
36,Cuenca,Facilities,8.4
36,Cuenca,Cleanliness,8.9
36,Cuenca,Comfort,8.6
36,Cuenca,Value for money,8.8
36,Cuenca,Location,8.9
36,Cuenca,Free WiFi,7.5
37,Cuenca,Staff,9.3
37,Cuenca,Facilities,9.5
37,Cuenca,Cleanliness,9.6
37,Cuenca,Comfort,9.6
37,Cuenca,Value for money,9.5
37,Cuenca,Location,9.6
37,Cuenca,Free WiFi,8.9
38,Cuenca,Staff,8.9
38,Cuenca,Facilities,8.5
38,Cuenca,Cleanliness,9.0
38,Cuenca,Comfort,8.9
38,Cuenca,Value for money,8.7
38,Cuenca,Location,9.5
38,Cuenca,Free WiFi,5.8
39,Cuenca,"",""
40,Cuenca,Staff,9.3
40,Cuenca,Facilities,9.2
40,Cuenca,Cleanliness,9.3
40,Cuenca,Comfort,9.3
40,Cuenca,Value for money,8.8
40,Cuenca,Location,9.0
40,Cuenca,Free WiFi,8.4
41,Cuenca,Staff,8.5
